"id","timestamp","body","recipient_id","user_id","sid"
2265,"2021-06-16 13:58:02.270702+00","ey bro😊",35,36,0
2266,"2021-06-16 13:58:24.800676+00","shit i'm talkin to myself👀",36,35,0
2267,"2021-06-16 13:59:03.730245+00","the graph looks shitty when you have many users in the list😡",35,36,0
2268,"2021-06-16 14:00:06.028168+00","good thing the participants only see 4 users in the list😊",36,35,0
2269,"2021-06-16 14:00:10.922248+00","Beginne Szenario 1",36,35,1
2270,"2021-06-16 14:00:14.871441+00","Szenario 1 beendet",36,35,1
2271,"2021-06-16 14:29:34.793823+00","Beginne Szenario 1",33,24,1
2272,"2021-06-16 14:29:58.947146+00","hey 😡",33,24,1
2273,"2021-06-16 14:30:34.531218+00","Hey👀",24,33,1
2274,"2021-06-16 14:30:45.63605+00","Szenario 1 beendet",33,24,1
2275,"2021-06-16 14:30:55.772805+00","Beginne Szenario 2",33,24,2
2276,"2021-06-16 14:31:09.874596+00","los gehts😊",24,33,2
2277,"2021-06-16 14:34:20.750534+00","Beginne Szenario 1",17,25,1
2278,"2021-06-16 14:34:35.021778+00","Beginne Szenario 1",28,19,1
2279,"2021-06-16 14:34:56.943216+00","hi😊",34,29,0
2280,"2021-06-16 14:34:57.241309+00","Hallo😊",28,19,1
2281,"2021-06-16 14:35:02.446392+00","Hallo 😊",23,12,0
2282,"2021-06-16 14:35:03.999407+00","Test👀",28,19,1
2283,"2021-06-16 14:35:06.384674+00","Hi😊",29,34,0
2284,"2021-06-16 14:35:09.074098+00","Hey 😊",12,23,0
2285,"2021-06-16 14:35:09.929127+00","bist du da, anonymous?👀",34,29,0
2286,"2021-06-16 14:35:34.199796+00","Hello 😊",19,28,1
2287,"2021-06-16 14:35:37.630094+00","Wir starten mit Szenario 17 oder? 👀",23,12,0
2288,"2021-06-16 14:35:44.61236+00","soll ich starten?👀",28,19,1
2289,"2021-06-16 14:35:51.21561+00","Ja genau 🥰",12,23,0
2290,"2021-06-16 14:35:54.6158+00","oh wurde schon😊",28,19,1
2291,"2021-06-16 14:36:00.107972+00","Beginne Szenario 1",34,29,1
2292,"2021-06-16 14:36:05.576286+00","jaa😊",29,34,1
2293,"2021-06-16 14:36:08.034711+00","ok start: 👀",28,19,1
2294,"2021-06-16 14:36:12.308046+00","Alda, wo bist du?? 😡",34,29,1
2295,"2021-06-16 14:36:14.499681+00","Beginne Szenario 17",23,12,17
2296,"2021-06-16 14:36:16.315874+00","bin da🥰",33,37,0
2297,"2021-06-16 14:36:16.567138+00","Beginne Szenario 17",11,22,17
2298,"2021-06-16 14:36:17.036463+00","Hey wo bleibst du denn? 😡",17,25,1
2299,"2021-06-16 14:36:17.363794+00","Beginne Szenario 17",12,23,17
2300,"2021-06-16 14:36:21.983095+00","Wo bleibst du?!?!😡",28,19,1
2301,"2021-06-16 14:36:22.420097+00","Beginne Szenario 17",15,32,17
